"gene","M_C1_IL1B_Mono","M_C10_MKI67_Macro","M_C11_MT1G_Macro","M_C12_HSPA1A_Macro","M_C13_MMP9_Macro","M_C14_CD1C_cDC","M_C15_LAMP3_cDC","M_C16_LILRA4_pDC","M_C17_S100A8_Neutro","M_C18_ISG15_Neutro","M_C19_AZU1_Neutro","M_C2_S100A8_Mono","M_C20_CXCL8_Neutro","M_C3_FCGR3A_Mono","M_C4_VCAN_Mono","M_C5_CCL3_C1QA_Macro","M_C6_SPP1_Macro","M_C7_TREM2_Macro","M_C8_BMP2K_Macro","M_C9_ISG15_Macro"
"ACTN1",0.448,0.3486,0.2985,0.3637,0.6622,0.2743,0.4268,0.0421,0.5643,0.3856,0.4759,0.994,0.479,0.1539,0.3404,0.2547,0.4839,0.2102,0.3048,0.3223
"ACTN1-AS1",0.0048,0.0022,9e-04,0.0013,0.0029,5e-04,9e-04,2e-04,0.0013,7e-04,0.0058,0.0096,0.0045,0.0025,0.0074,0.0015,9e-04,0.0011,0.01,0.0011
"DCAF5",0.234,0.145,0.0938,0.118,0.2109,0.128,0.0962,0.248,0.0799,0.0827,0.2066,0.3368,0.0481,0.2878,0.268,0.1598,0.1535,0.0885,0.3298,0.1416
"EXD2",0.0148,0.029,0.0155,0.0132,0.0407,0.0254,0.0179,0.0494,0.0031,0.0029,0.0198,0.0076,0.0056,0.0157,0.0187,0.0353,0.0356,0.0202,0.0425,0.0239
"GALNT16",8e-04,7e-04,0.001,0,0,0,8e-04,9e-04,4e-04,0.0013,0.0011,0,0,0.0014,0.0013,5e-04,4e-04,1e-04,7e-04,3e-04
"ERH",0.4866,0.9266,0.6496,0.4835,0.5776,0.6584,0.6456,0.7307,0.1814,0.2049,0.6858,0.113,0.1081,0.5233,0.5023,0.5314,0.6888,0.5429,0.4004,0.7006
"SLC39A9",0.1499,0.1136,0.0495,0.0615,0.0904,0.0768,0.0639,0.1108,0.0306,0.0331,0.1511,0.0702,0.028,0.1611,0.1701,0.0801,0.0831,0.0454,0.1602,0.0777
"PLEKHD1",0.0035,0.0031,7e-04,0,0,9e-04,2e-04,0.1058,0.0013,0.0028,0.0036,0.002,0,0.0026,0.003,0.001,0.0015,0.0014,0.0043,0.001
"SUSD6",0.5775,0.2918,0.1567,0.2294,0.3839,0.3396,0.2465,0.3777,0.4649,0.3592,0.4993,0.6799,0.6408,0.6322,0.5138,0.3924,0.2706,0.2069,0.8327,0.3787
"SRSF5",1.1169,0.8325,0.8613,0.882,0.662,1.0462,0.9402,1.2555,0.781,0.7639,1.0517,0.6275,0.6636,1.3674,0.8039,1.0913,0.9228,0.6257,0.9493,0.9458
"SLC10A1",0.0393,0.0198,0.0045,0.0181,0.026,0.0265,0.0234,0.0516,0.0026,0.0038,0.0318,0.0046,0.0136,0.0809,0.0503,0.0181,0.0103,0.0097,0.2428,0.0145
"SMOC1",0.0018,0.0036,0.0016,0.0061,0.0058,0.0054,0.0361,0.0995,0.0023,0.0049,4e-04,7e-04,0,0.0019,0.0049,0.0029,0.0029,0.0033,0.004,0.0041
"SLC8A3",9e-04,0.0027,5e-04,0,8e-04,6e-04,0.003,0.0028,4e-04,3e-04,0.0027,9e-04,0,8e-04,5e-04,6e-04,4e-04,0,0.0013,2e-04
"COX16",0.2947,0.3995,0.289,0.2131,0.3586,0.3101,0.2539,0.3657,0.0699,0.1059,0.2108,0.026,0.0145,0.2879,0.3593,0.2965,0.3483,0.2825,0.2721,0.3979
"SYNJ2BP",0.0597,0.103,0.0547,0.0571,0.1208,0.0754,0.0596,0.0413,0.012,0.0163,0.0594,0.0109,0.0092,0.054,0.06,0.0979,0.0927,0.0652,0.0884,0.1002
"ADAM21",0,7e-04,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0.001,0
"ADAM20",4e-04,2e-04,0,0.001,4e-04,1e-04,6e-04,2e-04,2e-04,0,3e-04,0,0,0,5e-04,2e-04,8e-04,2e-04,0.0016,5e-04
"MED6",0.1032,0.1384,0.0922,0.0805,0.0885,0.1143,0.1051,0.1457,0.0357,0.056,0.1278,0.0442,0.0468,0.1334,0.0986,0.0947,0.1141,0.0802,0.1294,0.1163
"TTC9",0.009,0.0027,0.0059,0.0047,0.0055,0.0039,0.0037,0.0049,0.0204,0.0244,0.0054,0.006,0.0046,0.0405,0.0082,0.003,0.0047,0.0045,0.0057,0.0061
"MAP3K9",0.0033,0.0049,0.0029,0.0036,0.0038,0.003,0.0055,0.0064,0.0018,0.001,0.0061,0.0028,0.0047,0.0016,0.0047,0.0058,0.0036,0.0032,0.0113,0.0027
"PCNX1",0.6868,0.2603,0.0937,0.1653,0.2032,0.1798,0.1483,0.5211,0.7535,0.4174,0.7068,1.4808,0.8127,0.4799,0.8372,0.1507,0.1853,0.1195,0.6018,0.2404
"SIPA1L1",1.4554,0.4228,0.1599,0.3428,0.3822,0.5107,0.378,0.411,0.6868,0.3976,1.0984,1.6027,1.4147,1.5956,1.322,0.4592,0.3279,0.2662,1.4963,0.3787
"RGS6",0.0049,0.0033,6e-04,0.0019,0.0071,0.0029,0.004,0.0046,0.0021,7e-04,0.0087,0.0107,0,0.0043,0.0094,0.002,0.0011,7e-04,0.0125,0.0014
"DPF3",0.0028,0.0044,0.0026,0.002,0.0036,0.004,0.0011,0.0206,3e-04,3e-04,0.0061,0.0016,0.0042,0.0054,0.0036,0.0033,0.0023,0.0017,0.0133,0.0018
"DCAF4",0.0134,0.017,0.0146,0.019,0.03,0.0189,0.0133,0.0202,0.0019,0.0025,0.0181,0.0039,0.0043,0.0159,0.0159,0.0209,0.0175,0.0134,0.0398,0.0157
"ZFYVE1",0.0654,0.0463,0.0348,0.0364,0.0393,0.036,0.0363,0.0484,0.0277,0.0211,0.0713,0.1395,0.0166,0.0762,0.0725,0.0455,0.047,0.0259,0.091,0.044
"RBM25",0.6973,0.6768,0.4171,0.5493,0.4674,0.6299,0.6424,0.9035,0.3595,0.4128,0.8056,0.506,0.2493,0.7427,0.6983,0.6064,0.5696,0.3694,0.8178,0.6526
"PSEN1",0.6608,0.2961,0.1809,0.229,0.2236,0.252,0.1925,0.3455,0.4326,0.3392,0.5505,1.0173,0.5604,0.7927,0.6368,0.2504,0.2702,0.1524,0.5608,0.2685
"PAPLN",0.0124,0.0057,0.0191,0.0091,0.0393,0.0056,0.0099,0.0862,0.0052,0.0039,0.0115,0.0032,0.0068,0.0093,0.0058,0.0082,0.0147,0.0053,0.0241,0.0057
"NUMB",1.1245,0.4027,0.261,0.3884,0.3843,0.4124,0.2706,0.393,0.9231,0.704,0.7207,1.2092,0.6657,1.0954,1.0846,0.3957,0.4043,0.274,1.0978,0.3794
"HEATR4",0.0049,0.0032,0.0017,9e-04,0.0043,0.0025,0.0046,0.0113,8e-04,2e-04,0.0062,0.0017,0.0043,0.0077,0.0056,0.0031,0.0021,0.0017,0.0215,0.0015
"RIOX1",0.0154,0.0235,0.0219,0.0231,0.0197,0.0186,0.0285,0.017,0.0023,0.0011,0.0246,0.002,0,0.0153,0.0134,0.0188,0.0244,0.0096,0.0097,0.0149
"ACOT1",4e-04,0.0016,0.0036,0.0016,0.002,3e-04,0.0015,4e-04,1e-04,2e-04,5e-04,1e-04,0,3e-04,6e-04,0.0014,0.0035,9e-04,0.0027,0.0021
