"gene","M_C1_IL1B_Mono","M_C10_MKI67_Macro","M_C11_MT1G_Macro","M_C12_HSPA1A_Macro","M_C13_MMP9_Macro","M_C14_CD1C_cDC","M_C15_LAMP3_cDC","M_C16_LILRA4_pDC","M_C17_S100A8_Neutro","M_C18_ISG15_Neutro","M_C19_AZU1_Neutro","M_C2_S100A8_Mono","M_C20_CXCL8_Neutro","M_C3_FCGR3A_Mono","M_C4_VCAN_Mono","M_C5_CCL3_C1QA_Macro","M_C6_SPP1_Macro","M_C7_TREM2_Macro","M_C8_BMP2K_Macro","M_C9_ISG15_Macro"
"SPINK2",0.0018,0.0128,1e-04,0.0021,0.0385,0.0081,0.015,0.0186,0.0023,0.0014,0.0123,0.0038,0,0.0011,0.0021,0.0011,7e-04,0.0018,0.0016,8e-04
"REST",0.1928,0.1891,0.1283,0.1276,0.1751,0.1859,0.2102,0.3178,0.1101,0.0848,0.2329,0.2501,0.0624,0.2267,0.1748,0.1863,0.1928,0.1252,0.1834,0.1735
"NOA1",0.0716,0.0717,0.0483,0.0596,0.073,0.0852,0.0876,0.1119,0.0152,0.0204,0.0708,0.0248,0.0033,0.0648,0.0571,0.0707,0.0594,0.0545,0.0556,0.0528
"POLR2B",0.2295,0.2138,0.1231,0.1108,0.1639,0.1898,0.2154,0.3211,0.0661,0.067,0.278,0.1425,0.0235,0.2651,0.2639,0.1516,0.1642,0.1179,0.2889,0.1724
"IGFBP7",0.2411,0.309,0.2716,0.2262,0.2875,0.24,0.3274,0.1648,0.142,0.1959,0.5835,0.1544,0.0999,0.1827,0.2198,0.2456,0.2321,0.1997,0.1107,0.2203
"IGFBP7-AS1",7e-04,2e-04,0,2e-04,0,5e-04,0,0.0013,2e-04,0,0.0019,0.0012,0,4e-04,7e-04,1e-04,2e-04,0,0.0012,5e-04
"ADGRL3",0.0036,0.0011,2e-04,0.0015,0.0031,0.0035,0.0014,0.0114,0.0012,0,0.0057,0.0058,0.005,0.0036,0.0041,0.0012,9e-04,8e-04,0.0076,3e-04
"ADGRL3-AS1",0.0041,0.0016,0,6e-04,0.0022,0.0025,0.0027,0.0055,8e-04,4e-04,0.0057,0.0029,0,0.0038,0.009,4e-04,6e-04,5e-04,0.0037,4e-04
"EPHA5",0.0011,8e-04,5e-04,2e-04,0,4e-04,2e-04,0.0018,1e-04,0,7e-04,0.0015,0.002,0.0013,0.0031,3e-04,1e-04,4e-04,0.0017,2e-04
"CENPC",0.2707,0.2586,0.0925,0.121,0.1305,0.1789,0.1173,0.5043,0.077,0.0673,0.3933,0.4305,0.0595,0.3179,0.259,0.1841,0.1329,0.1051,0.3562,0.1308
"STAP1",0.005,0.016,0.0148,0.0097,0.0045,0.0187,0.0146,0.2303,0.0035,0.0128,0.0242,0.0188,0.0044,0.0022,0.0102,0.0086,0.0133,0.0096,0.0144,0.0634
"UBA6",0.3213,0.279,0.1426,0.1829,0.2578,0.201,0.1919,0.3769,0.1112,0.0996,0.4102,0.4668,0.1363,0.2993,0.3173,0.2043,0.2427,0.1264,0.4071,0.2419
"UBA6-AS1",0.0286,0.0351,0.0157,0.0237,0.0549,0.0301,0.0218,0.1525,0.0053,0.0047,0.0499,0.0126,0.0087,0.0249,0.0335,0.0314,0.0329,0.0239,0.1054,0.0294
"GNRHR",2e-04,2e-04,0,0,7e-04,4e-04,0.001,0.0077,0,0,0.0016,0,0,3e-04,6e-04,1e-04,1e-04,1e-04,0.0022,0
"TMPRSS11D",9e-04,0.001,0.0033,5e-04,0,2e-04,5e-04,0.0041,6e-04,0,0,6e-04,0,8e-04,8e-04,4e-04,0.0011,4e-04,9e-04,9e-04
"TMPRSS11A",3e-04,2e-04,0,0,0,1e-04,0,0.0012,1e-04,0,0,8e-04,0,2e-04,0,4e-04,3e-04,4e-04,8e-04,0.0012
"YTHDC1",0.5129,0.3491,0.2567,0.3931,0.2835,0.3558,0.2906,0.5275,0.359,0.3757,0.5096,0.5721,0.3465,0.5081,0.4357,0.3772,0.3102,0.1927,0.4721,0.2883
"UGT2B17",5e-04,0.0012,8e-04,4e-04,0,3e-04,0.0011,2e-04,2e-04,3e-04,6e-04,3e-04,0,0,0,0.0013,6e-04,0.0012,0,9e-04
"UGT2B15",8e-04,0.0049,0.001,7e-04,0,0.0028,0.0029,3e-04,5e-04,8e-04,0,0,0,0,0,0.0056,0.0046,0.0014,1e-04,0.0042
"UGT2B4",0.002,0.0089,0.0062,0.0022,0,0.0026,0.0052,8e-04,6e-04,0,0,3e-04,0,2e-04,0,0.0089,0.0077,0.004,0,0.0098
"SULT1B1",0.0973,0.027,0.0155,0.0202,0.083,0.0297,0.0056,0.0043,0.1261,0.0527,0.0448,0.0782,0.0433,0.0958,0.1401,0.0061,0.0055,0.009,0.0221,0.0048
"SMR3B",0,0,0,0,0,2e-04,4e-04,1e-04,0,0,0,4e-04,0,0,0,0,1e-04,0,0,0
"ENAM",1e-04,0,0,0,0,1e-04,0,0.0185,1e-04,0,6e-04,7e-04,0,2e-04,3e-04,1e-04,0,0,2e-04,0
"JCHAIN",0.0603,0.0913,0.0372,0.0771,0.0585,0.0648,0.1527,2.0453,0.0899,0.0262,0.086,0.299,0.0136,0.0446,0.0499,0.0492,0.0501,0.0723,0.0382,0.0567
"UTP3",0.087,0.1172,0.0593,0.0877,0.1128,0.1083,0.0943,0.1522,0.016,0.0285,0.1032,0.0142,0.01,0.1162,0.1014,0.1058,0.1104,0.0734,0.103,0.1184
"RUFY3",0.2878,0.1594,0.0788,0.1303,0.2244,0.2746,0.3487,0.4182,0.0279,0.0541,0.2376,0.0403,0.0324,0.409,0.2852,0.2048,0.1499,0.1144,0.5014,0.293
"GRSF1",0.19,0.22,0.1486,0.1828,0.2229,0.2619,0.5448,0.4662,0.0382,0.0509,0.2036,0.0555,0.0273,0.2028,0.1804,0.2229,0.2196,0.1677,0.1921,0.2604
"MOB1B",0.2417,0.1788,0.0988,0.1627,0.1999,0.2617,0.274,0.636,0.0251,0.0394,0.2174,0.0303,0.0079,0.1927,0.2328,0.2455,0.1614,0.1515,0.5639,0.1941
"DCK",0.1283,0.435,0.1307,0.1965,0.1004,0.32,0.2344,0.672,0.0462,0.0584,0.1764,0.048,0.0142,0.1384,0.091,0.2887,0.1755,0.192,0.1185,0.2679
"SLC4A4",0.0057,0.0046,0.003,0.0043,0.0075,0.0027,0.0043,0.0132,0.0022,0.0028,0.0043,0.0028,0,0.0085,0.0066,0.0032,0.0019,0.0038,0.0119,0.0031
"GC",0.0092,0.0407,0.0223,0.023,0.0081,0.0165,0.0259,0.0038,0.0038,0.0051,0,7e-04,0,0.0027,0,0.0572,0.0444,0.0243,3e-04,0.0572
"ADAMTS3",0.0015,0.002,0,0.0011,0.0011,0.001,0,0.0023,5e-04,5e-04,0.0014,0.0034,0,0.0015,0.0013,3e-04,4e-04,2e-04,0.0018,3e-04
"COX18",0.0612,0.0575,0.0326,0.0313,0.0506,0.0473,0.0401,0.0592,0.0111,0.0214,0.065,0.0183,0.0083,0.0729,0.0704,0.0497,0.0471,0.037,0.0896,0.0418
"ANKRD17",0.6569,0.3842,0.1433,0.2141,0.3671,0.2932,0.1993,0.5953,0.1815,0.1783,0.7378,0.8105,0.4878,0.7054,0.7459,0.3046,0.2574,0.1691,0.9225,0.268
"RASSF6",0.0012,0.0017,0.0011,0.0032,0.0053,0.0022,0.0088,0.0085,0.0025,0.0011,0.0023,0.0023,0,0.0016,0.0026,0.0018,0.002,0.0027,0.0021,0.0051
"CXCL8",1.8648,1.1667,1.435,2.0185,0.7178,1.1635,0.7527,0.1803,3.395,3.9533,1.3746,0.621,5.6196,0.8942,0.8286,2.0534,1.8401,0.8128,1.1639,1.0398
"CXCL1",0.1575,0.1516,0.1727,0.1313,0.1054,0.0311,0.0538,0.0254,0.5485,0.5536,0.0522,0.1317,0.9755,0.0266,0.0718,0.2932,0.3123,0.0636,0.0594,0.1739
"CXCL5",0.049,0.0238,0.0885,0.0607,0.0435,0.0041,0.006,0.0029,0.008,0.011,0.025,0.002,0.0342,0.0021,0.0038,0.037,0.2649,0.0124,0.0065,0.0207
"CXCL3",0.8342,0.5112,0.9563,0.6317,0.467,0.2781,0.1827,0.0727,0.163,0.1371,0.4583,0.0234,0.2123,0.236,0.141,1.2613,1.4676,0.3133,0.3429,0.6019
"CXCL2",1.3596,0.7403,1.1761,1.0033,0.3765,0.5455,0.3743,0.1463,0.363,0.4519,0.6341,0.0586,0.7167,0.5028,0.2908,1.6301,1.4624,0.4148,0.4706,0.9029
"MTHFD2L",0.1519,0.125,0.0975,0.0924,0.1161,0.1115,0.0994,0.2108,0.0289,0.025,0.166,0.0434,0.0325,0.1392,0.1088,0.0999,0.1153,0.0678,0.1699,0.0985
"EPGN",0.0031,5e-04,0,7e-04,0,0.0017,8e-04,9e-04,3e-04,0,0.0013,0.0016,0,0.0023,6e-04,3e-04,9e-04,4e-04,0.0014,2e-04
"EREG",1.4651,0.2872,0.4048,0.3931,0.1326,0.3817,0.1943,0.0554,0.1685,0.1854,0.8702,0.0809,0.377,0.5451,0.2675,0.2459,0.5322,0.0665,0.1211,0.3194
"AREG",0.9673,0.5058,0.5172,0.647,0.0891,1.2605,0.6859,1.2901,0.1862,0.2917,1.047,0.0952,0.3075,0.4383,0.1611,0.4942,0.4439,0.1895,0.1373,0.4949
"BTC",3e-04,9e-04,0,0.0019,0.0046,3e-04,0,0.0021,3e-04,0,0,5e-04,0,5e-04,0,6e-04,4e-04,0.001,3e-04,6e-04
"PARM1",0.0066,0.0424,0.0039,0.0144,0.2776,0.1576,0.1318,0.0073,0.0047,0.0022,0.0052,0.0045,0,0.0068,0.012,0.0122,0.0058,0.0117,0.0363,0.0139
"RCHY1",0.1177,0.115,0.0873,0.1082,0.103,0.1039,0.0728,0.0916,0.054,0.0494,0.1637,0.1716,0.0784,0.1364,0.1382,0.12,0.1068,0.0767,0.1843,0.0962
"THAP6",0.075,0.0599,0.0573,0.0502,0.0755,0.0587,0.0446,0.0715,0.0313,0.0315,0.0914,0.0269,0.0538,0.0923,0.0874,0.0722,0.0616,0.0475,0.113,0.0731
"ODAPH",3e-04,9e-04,0,0,0,2e-04,3e-04,0,3e-04,4e-04,4e-04,0,0,0,0,3e-04,4e-04,6e-04,0.0015,2e-04
"CDKL2",0.0041,0.0026,9e-04,4e-04,0.0021,0.0031,0.0044,0.0031,4e-04,0,0.0038,0.0031,0.0049,0.0041,0.0067,0.0012,0.001,8e-04,0.0101,0.002
"G3BP2",0.3517,0.3765,0.2442,0.2414,0.2691,0.4219,0.6206,0.5581,0.1616,0.1493,0.4218,0.2591,0.1686,0.4252,0.309,0.3125,0.3345,0.1908,0.4026,0.3182
"USO1",0.2597,0.2585,0.1581,0.1691,0.2775,0.2178,0.2004,0.4139,0.0649,0.0807,0.2682,0.1302,0.0635,0.3073,0.287,0.2263,0.2703,0.1626,0.3782,0.2855
"NAAA",0.3322,0.232,0.2164,0.212,0.1336,0.3912,0.5703,0.149,0.0613,0.1058,0.2451,0.0311,0.0314,0.8056,0.2774,0.2937,0.2231,0.1981,0.2704,0.3669
"SDAD1",0.1146,0.169,0.0838,0.0894,0.1233,0.1364,0.1193,0.2019,0.0208,0.0336,0.1394,0.0293,0.0083,0.1492,0.1265,0.1316,0.1418,0.1088,0.1609,0.1812
"CXCL9",0.0354,0.1195,0.1568,0.0493,0.045,0.0793,0.36,0.0179,0.0112,0.0545,0.0071,0.002,0,0.0156,0.0387,0.1165,0.1328,0.1243,0.0818,1.4956
"ART3",0.0046,0.0017,8e-04,9e-04,0.0012,0.0013,0.0012,0,2e-04,0.0024,0.0036,0.0013,0,0.0081,0.0046,0.0016,0.0011,0.0013,0.017,0.0163
"CXCL10",0.0873,0.3658,0.2752,0.1802,0.0506,0.1102,0.2368,0.0724,0.0496,0.4616,0.0191,0.0047,0.0057,0.1063,0.0315,0.2435,0.1549,0.1858,0.1144,2.5364
"CXCL11",0.0161,0.0404,0.0415,0.0222,0.0076,0.0212,0.0789,0.0101,0.0058,0.1008,0.0019,3e-04,0.0022,0.0058,0.0081,0.0211,0.017,0.021,0.0132,0.9454
"NUP54",0.1329,0.1788,0.0779,0.0869,0.0981,0.1253,0.1124,0.1899,0.0255,0.0367,0.2013,0.0853,0.0409,0.1715,0.1426,0.1121,0.1086,0.0797,0.1866,0.1139
"SCARB2",0.2759,0.4137,0.4481,0.3155,0.3929,0.1707,0.0996,0.5943,0.0652,0.241,0.2539,0.1223,0.0373,0.373,0.2448,0.5718,0.7131,0.3573,0.4666,0.759
"FAM47E",0.0022,8e-04,0.0023,0.0036,0.0024,0.0015,3e-04,0.004,5e-04,0,0.0022,0.0021,0,0.0035,0.0033,0.003,0.0027,0.0018,0.0081,0.0033
"STBD1",0.0036,0.0106,0.0049,0.0125,0.0043,0.0035,0.0014,1e-04,0.0017,0.0042,0.0024,0.0118,0,0.0038,0.0061,0.0059,0.0104,0.0035,0.0043,0.0076
"CCDC158",5e-04,2e-04,0,0,0,1e-04,0,3e-04,1e-04,0,2e-04,0.0042,0,5e-04,7e-04,2e-04,1e-04,1e-04,0,0
"SHROOM3",0.0057,0.0064,0.021,0.0094,0.0099,0.0042,0.0048,0.0038,0.003,0.0027,0.0273,0.0015,0,0.0035,0.0081,0.0041,0.0191,0.004,0.0064,0.0041
"SEPTIN11",0.0616,0.1619,0.034,0.0531,0.1846,0.0823,0.1481,0.2486,0.0121,0.0211,0.0635,0.007,0.0081,0.0842,0.0934,0.1313,0.1037,0.0714,0.2871,0.0949
"CCNI",1.2345,1.1817,0.9748,1.0953,1.1141,1.3899,1.4444,1.3685,0.8968,0.8118,1.1323,0.8758,0.7232,1.2906,0.9278,1.1944,1.1632,0.972,0.7509,1.1137
"CCNG2",0.1438,0.1408,0.0954,0.1521,0.0864,0.1637,0.3064,0.1479,0.2119,0.155,0.1261,0.1988,0.1318,0.211,0.1615,0.1546,0.1338,0.1078,0.2228,0.1134
"CXCL13",0.0162,0.0308,0.0309,0.0068,0.0109,0.0145,0.0539,0.0383,0.0115,0.0198,0.0127,0.0033,0,0.0148,0.0251,0.0103,0.0128,0.0163,0.0168,0.0601
"CNOT6L",0.3457,0.2597,0.1473,0.1762,0.2315,0.2753,0.2226,0.6057,0.137,0.1253,0.4143,0.4884,0.1224,0.5601,0.3437,0.2128,0.1767,0.1444,0.4406,0.1907
"MRPL1",0.0901,0.1738,0.0932,0.0898,0.1979,0.1226,0.0887,0.1567,0.0208,0.0271,0.1853,0.0315,0.0063,0.1426,0.1309,0.1037,0.1368,0.1007,0.1855,0.1308
"FRAS1",0.0026,0.0017,0,0.0025,0.0027,7e-04,0.0019,0.0014,0.0015,0.0034,6e-04,8e-04,0,0.0031,0.0012,0.0012,0.0012,0.0013,0.0045,5e-04
"ANXA3",0.0094,0.0205,0.0272,0.0181,0.0117,0.0708,0.1032,0.0069,0.2224,0.128,0.0735,1.447,0.0475,0.0079,0.0271,0.0063,0.0088,0.0219,0.0058,0.0128
"BMP2K",0.5663,0.5277,0.2668,0.3801,0.6382,0.3691,0.4103,0.2382,0.1609,0.2516,0.4387,0.2849,0.2096,0.5162,0.7589,0.7241,0.4935,0.4479,1.7506,0.5447
"PAQR3",0.0575,0.059,0.024,0.0479,0.0755,0.0534,0.0658,0.0544,0.0099,0.0148,0.0777,0.0091,0.0087,0.0715,0.0705,0.0668,0.0479,0.0418,0.2673,0.0491
"ANTXR2",0.6367,0.228,0.0725,0.1276,0.4307,0.2226,0.3219,0.7017,0.4529,0.3352,0.5873,1.2997,0.7943,0.4314,0.5773,0.1817,0.1623,0.0829,0.3607,0.1515
"PRDM8",0.0472,0.0147,0.0086,0.0154,0.0166,0.0292,0.0399,0.0107,0.0923,0.1387,0.0339,0.0125,0.1118,0.0131,0.0084,0.0222,0.0163,0.0082,0.0121,0.0122
"CFAP299",0.0022,8e-04,0,0.0011,0,6e-04,2e-04,0.0084,6e-04,0,9e-04,7e-04,0,0.002,0.0026,5e-04,2e-04,0.0012,0.0032,0
"BMP3",3e-04,0,0,0,0.0018,6e-04,0,0.0014,7e-04,0.001,0.0014,0.0015,0,2e-04,0,2e-04,3e-04,3e-04,6e-04,2e-04
"PRKG2",7e-04,8e-04,3e-04,0,0.002,0.001,2e-04,0.0022,4e-04,0,4e-04,6e-04,0,6e-04,0.001,2e-04,2e-04,4e-04,8e-04,0
"RASGEF1B",0.9281,0.6068,0.614,0.6951,0.484,0.8168,0.4174,0.5513,0.0902,0.1963,0.7069,0.0865,0.1856,1.0597,0.514,0.9902,0.8135,0.3293,1.4028,0.7814
"HNRNPD",0.7189,0.8281,0.3626,0.4507,0.4656,0.5897,0.5343,0.7776,0.2393,0.247,0.8373,0.5697,0.1671,0.7113,0.7001,0.5088,0.4681,0.3687,0.6706,0.5355
"HNRNPDL",0.9485,1.1041,0.8873,1.0366,0.7276,1.1352,1.0401,1.1375,0.3436,0.3423,1.0245,0.352,0.2599,1.0088,0.7588,1.0673,0.9741,0.7285,0.8908,1.0098
"ENOPH1",0.0858,0.1844,0.0856,0.0802,0.1513,0.1128,0.0926,0.1365,0.0188,0.0255,0.126,0.0278,0.0166,0.0856,0.0897,0.1322,0.1474,0.1066,0.1148,0.1364
"TMEM150C",0.0026,0.0057,0.0015,0.0046,0.0146,0.0047,0.0846,0.009,0.002,0.0022,0.0024,0.0041,0,0.0018,0.0031,0.0053,0.0024,0.0042,0.0109,0.0045
"SCD5",0.0106,0.0212,0.0027,0.0029,0.1779,0.0064,0.0121,0.0067,0.0031,0.0024,0.0145,0.0031,0,0.0094,0.0136,0.011,0.0058,0.0068,0.0182,0.0073
"SEC31A",0.472,0.3647,0.2336,0.2598,0.4105,0.319,0.2973,0.6649,0.1271,0.1399,0.5332,0.3771,0.2324,0.5147,0.4148,0.3356,0.3509,0.1941,0.5632,0.329
"THAP9-AS1",0.1945,0.1447,0.1289,0.1809,0.0723,0.1897,0.1652,0.1048,0.1795,0.3673,0.1705,0.0573,0.1282,0.28,0.0865,0.1531,0.12,0.0738,0.1492,0.1194
"THAP9",0.0744,0.0385,0.0089,0.0221,0.0204,0.0289,0.0256,0.0387,0.0147,0.012,0.0463,0.0185,0.1602,0.1172,0.0658,0.0244,0.0156,0.0134,0.1567,0.0232
"LIN54",0.1141,0.1507,0.0379,0.0477,0.069,0.0413,0.0369,0.0825,0.072,0.0374,0.2237,0.3036,0.1249,0.1477,0.1178,0.05,0.0494,0.0293,0.1399,0.0448
"COPS4",0.1197,0.1744,0.1028,0.1111,0.1235,0.1467,0.1133,0.1492,0.031,0.038,0.1511,0.0964,0.0211,0.1409,0.136,0.1177,0.1394,0.1118,0.1109,0.1451
"PLAC8",0.596,0.4896,0.6193,0.3429,0.0292,0.4989,0.2273,2.2723,0.1374,0.2817,1.5519,0.554,0.0793,0.9953,0.5936,0.0923,0.2076,0.1851,0.1258,0.3305
"COQ2",0.1279,0.272,0.1244,0.1056,0.0679,0.0865,0.0526,0.0693,0.051,0.062,0.1498,0.0904,0.0766,0.1834,0.1339,0.1681,0.1913,0.1293,0.2195,0.1931
"HPSE",0.2345,0.1298,0.114,0.1854,0.0302,0.029,0.0069,0.0091,0.1147,0.2151,0.0741,0.0321,0.1731,0.0839,0.1194,0.1389,0.1907,0.0927,0.1141,0.245
"HELQ",0.081,0.0835,0.0441,0.0634,0.0658,0.0588,0.0391,0.0856,0.0254,0.0366,0.1026,0.0779,0.0226,0.1,0.1052,0.0836,0.0671,0.058,0.1362,0.0732
"MRPS18C",0.198,0.4104,0.2961,0.2272,0.3642,0.2541,0.1676,0.2569,0.0946,0.1445,0.2434,0.0554,0.0541,0.2234,0.2145,0.2601,0.3472,0.2724,0.18,0.413
"ABRAXAS1",0.0601,0.0454,0.0232,0.0385,0.0735,0.0654,0.041,0.0381,0.0127,0.0134,0.0586,0.0462,0.0044,0.0787,0.0594,0.0482,0.0375,0.0411,0.0768,0.0338
"GPAT3",0.3003,0.1481,0.0655,0.1266,0.0648,0.4342,0.2024,0.0104,0.2461,0.1231,0.145,0.3722,0.1326,0.133,0.2551,0.1066,0.0907,0.0671,0.1925,0.0685
"NKX6-1",3e-04,1e-04,8e-04,0.0011,0,1e-04,0.0013,3e-04,2e-04,5e-04,8e-04,2e-04,0,2e-04,5e-04,4e-04,4e-04,1e-04,2e-04,1e-04
"CDS1",0.0367,0.0335,0.0148,0.0121,0.0103,0.0244,0.0251,0.0047,0.0043,0.0025,0.0526,0.0036,0.0076,0.0089,0.0192,0.017,0.0195,0.0062,0.0318,0.0174
"WDFY3",0.7266,0.2771,0.1257,0.1692,0.2723,0.2053,0.1192,0.0362,0.388,0.3431,0.5397,1.378,0.3625,0.6152,0.9175,0.3038,0.2154,0.1846,1.064,0.2523
"WDFY3-AS1",0.0045,0.0014,4e-04,0,0.0015,0.002,4e-04,0,7e-04,0.0012,0.0018,0.0011,0.0046,0.0054,0.0011,0.0028,0.0013,0.0012,0.0156,0.0024
"WDFY3-AS2",0.0079,0.0095,0.0016,0.003,0.0096,0.0063,0.0013,5e-04,0.0059,0.0075,0.0032,0.0019,0.0081,0.0057,0.0131,0.0138,0.0043,0.008,0.0301,0.0051
"ARHGAP24",0.8627,0.2541,0.1487,0.2799,0.3794,0.2193,0.1368,0.5682,0.166,0.1137,0.6372,1.4284,0.0988,0.4685,1.2114,0.3685,0.2273,0.2828,1.5009,0.2248
"MAPK10",0.0172,0.0035,0.0074,0.0091,0.0296,0.0128,0.0071,0.0213,0.0053,0.0024,0.0158,0.0161,0,0.0226,0.022,0.0125,0.0055,0.0082,0.0523,0.0071
"PTPN13",0.0212,0.0237,0.0101,0.0149,0.0225,0.0272,0.0275,0.0071,0.0054,0.0081,0.0137,0.0085,0.0085,0.1491,0.0267,0.0125,0.0094,0.0155,0.0431,0.0117
"SLC10A6",8e-04,3e-04,4e-04,4e-04,0.0041,5e-04,6e-04,0.0026,2e-04,0,0.0013,0,0,3e-04,2e-04,3e-04,1e-04,3e-04,0.0016,5e-04
"C4orf36",0.0032,0.0045,0.0035,0.0028,0.0094,0.0046,0.0124,0.0068,0.0016,0.0029,0.0018,0.002,0.0028,0.0041,0.003,0.0095,0.0075,0.0059,0.0055,0.011
"AFF1",0.4851,0.2851,0.1298,0.232,0.6234,0.2995,0.2829,0.5929,0.1441,0.344,0.5693,0.7146,0.1955,0.5206,0.5523,0.3635,0.2527,0.1722,0.9778,0.3218
"KLHL8",0.2358,0.1354,0.0743,0.1003,0.0996,0.1191,0.0743,0.129,0.1419,0.106,0.2224,0.1319,0.0258,0.2317,0.2854,0.118,0.1006,0.0709,0.1848,0.101
"HSD17B13",0.0094,0.0072,9e-04,0.0025,0.0034,0.0037,0.0027,0.003,0.0031,0.0023,0.0123,0.0126,0,0.0093,0.0168,0.0057,0.0052,0.002,0.0117,0.0059
"HSD17B11",0.5565,0.5279,0.3863,0.4137,0.3294,0.4333,0.307,0.2416,0.4925,0.551,0.4935,0.4064,0.2942,0.5074,0.5567,0.4426,0.4789,0.3977,0.4113,0.4232
"NUDT9",0.05,0.0981,0.0717,0.0802,0.113,0.0667,0.0644,0.0684,0.0113,0.0159,0.0615,0.0106,0.0019,0.0649,0.057,0.1041,0.1201,0.0741,0.0951,0.1114
"SPARCL1",0.0229,0.0815,0.0902,0.0535,0.0966,0.0352,0.0766,0.0404,0.0408,0.0364,0.0314,0.048,0.0262,0.0285,0.0203,0.0739,0.062,0.0631,0.1686,0.0336
"DSPP",1e-04,0.0027,9e-04,0.001,0,0.0015,0,0,0,0,0,0,0,0,0,0.0027,0.0013,0.0024,0.0264,6e-04
"DMP1",5e-04,0.0028,0.001,0.0012,0.002,0.0017,7e-04,3e-04,3e-04,5e-04,0.0012,5e-04,0,0,0.0012,0.004,0.0018,0.0043,0.0523,0.0029
"IBSP",0.0131,0.0237,0.0118,0.0203,0.031,0.0073,0.0093,0.0054,0.0247,0.0724,0.0079,0.0204,0,0.0084,0.0147,0.0242,0.0353,0.0256,0.0347,0.0241
"MEPE",0.0033,0.0041,0.0015,0.007,0.0023,0.003,3e-04,0.0012,3e-04,3e-04,0.0016,0,0.0041,0.003,0.0076,0.0083,0.006,0.0095,0.0738,0.0036
"SPP1",0.3206,1.3685,1.1436,1.0258,3.2996,0.2718,0.1651,0.1009,0.2876,0.3011,0.1271,0.0893,0.4709,0.1198,0.485,0.8533,1.8821,1.1124,1.3322,0.9664
"PKD2",0.1314,0.113,0.047,0.051,0.1233,0.0901,0.0746,0.1361,0.0217,0.0383,0.2213,0.0975,0.0312,0.1068,0.1568,0.0836,0.0979,0.0607,0.3206,0.0754
"ABCG2",0.0023,0.0288,0.0213,0.0113,0.0215,0.0055,0.0041,0.0121,0.0021,0.0014,0.0056,0.0027,0.0045,0.0015,0.006,0.0278,0.0465,0.0128,0.0166,0.0091
"PPM1K",0.0905,0.1249,0.1028,0.0953,0.0843,0.1482,0.3045,1.0116,0.0275,0.2613,0.1361,0.0209,0.0053,0.0736,0.0821,0.1357,0.1105,0.0724,0.1447,0.2346
"PPM1K-DT",0.0045,0.0027,0,0.0014,0.0016,0.0029,0.0043,0.0157,3e-04,0.0032,0.0044,3e-04,0.0028,0.0059,0.0057,0.0016,6e-04,0.0015,0.022,0.0043
"HERC6",0.0364,0.0461,0.0366,0.026,0.0343,0.0241,0.0151,0.0479,0.0206,0.25,0.0347,0.0093,0.0066,0.0643,0.0374,0.0346,0.0411,0.0246,0.0585,0.113
"HERC5",0.0762,0.2647,0.142,0.0837,0.0487,0.0552,0.0719,0.219,0.1125,1.872,0.1778,0.0111,0.0336,0.1653,0.0508,0.1152,0.1445,0.0744,0.1049,0.502
"PYURF",0.2715,0.4298,0.3884,0.2703,0.346,0.4103,0.3211,0.3649,0.0925,0.1803,0.3739,0.0638,0.0387,0.2587,0.2198,0.323,0.4002,0.3125,0.1374,0.3983
"PIGY-DT",1e-04,2e-04,0,0,0.001,1e-04,0,2e-04,0,0,0,2e-04,0,5e-04,0.0011,3e-04,2e-04,2e-04,8e-04,1e-04
"HERC3",0.251,0.1196,0.0569,0.0748,0.1577,0.132,0.0916,0.1356,0.0936,0.1062,0.2275,0.2269,0.0151,0.3855,0.3126,0.1119,0.0968,0.0669,0.3547,0.115
"NAP1L5",0.0094,0.0153,0.0071,0.0166,0.015,0.02,0.0147,0.0344,0.0036,0.0037,0.0174,0.002,0.0045,0.0102,0.006,0.0122,0.0104,0.007,0.0064,0.0075
"FAM13A-AS1",0.0778,0.0299,0.0069,0.0201,0.0354,0.0287,0.0199,0.0273,0.0629,0.0481,0.0632,0.1159,0.0426,0.121,0.0767,0.0251,0.0188,0.017,0.0772,0.0201
"FAM13A",0.3045,0.1469,0.0911,0.2052,0.1743,0.1539,0.1192,0.2042,0.0411,0.0565,0.1792,0.0544,0.0533,0.2637,0.3999,0.2728,0.1745,0.1187,0.6767,0.1398
"TIGD2",0.0094,0.014,0.0121,0.0157,0.0102,0.0138,0.0251,0.0146,0.0021,0.0022,0.0187,0.001,0,0.0071,0.0126,0.0159,0.0149,0.0093,0.0183,0.0156
"GPRIN3",0.3019,0.338,0.1751,0.2331,0.3199,0.4602,0.262,0.0373,0.035,0.035,0.2257,0.0235,0.0567,0.3027,0.297,0.4052,0.3821,0.2743,1.032,0.2704
"SNCA",0.1262,0.2631,0.1006,0.1138,0.037,0.1721,0.0481,0.2659,0.0204,0.0242,0.1109,0.025,0.0139,0.0523,0.1154,0.1766,0.1566,0.1392,0.2212,0.1405
"MMRN1",0.0015,0.0068,0.0028,0.0032,0.0051,0.0032,0.0025,0.0883,0.0036,0,0.0029,0.0022,0,0.0014,8e-04,0.003,0.0023,0.0017,0.0018,0.0037
