"Tissue","CellMajor","CellMin1","n","pct"
"PT","Plasma cells","PC_C4_CD79A",3158,15.757
"PT","Plasma cells","PC_C5_HSPA1A",2141,10.683
"PT","Plasma cells","PC_C6_SELK",2131,10.633
"PT","Plasma cells","PC_C7_HLA-DRA",1624,8.103
"PT","Plasma cells","PC_C8_IGHG",1541,7.689
"PT","Plasma cells","PC_C9_IGHA",425,2.121
"PT","T and NK cells","CD4T_C1_CCR7_Tn",42381,16.715
"PT","T and NK cells","CD4T_C2_FOXP3_Treg",28515,11.246
"PT","T and NK cells","CD4T_C3_BACH2",5104,2.013
"PT","T and NK cells","CD4T_C4_CXCL13",13607,5.367
"PT","T and NK cells","CD4T_C5_TOX",936,0.369
"PT","T and NK cells","CD4T_C6_ISG15",2541,1.002
"PT","T and NK cells","CD8T_C1_HSPA1A",32150,12.68
"PT","T and NK cells","CD8T_C2_GZMK",45440,17.922
"PT","T and NK cells","CD8T_C3_PDCD1",14674,5.787
"PT","T and NK cells","CD8T_C4_XCL1",19128,7.544
"PT","T and NK cells","CD8T_C5_ISG15",11094,4.375
"PT","T and NK cells","CD8T_C6_TOX",1514,0.597
"PT","T and NK cells","CD8T_C7_MKI67",12151,4.792
"PT","T and NK cells","NK_C1_FCGR3A",6197,2.444
"PT","T and NK cells","NK_C2_XCL1",5297,2.089
"PT","T and NK cells","NK_C3_HSPA1A",5363,2.115
"PT","T and NK cells","NK_C4_CX3CR1",2558,1.009
"PT","T and NK cells","NK_C5_KLRC2",553,0.218
"PT","T and NK cells","NK_C6_NFKB1A",2037,0.803
"PT","T and NK cells","NK_C7_ISG15",1127,0.444
"PT","T and NK cells","NK_C8_CREM",1182,0.466
"hBM","B cells","B_C10_LOMO2",13,0.216
"hBM","B cells","B_C11_MZB1_PC",2827,47.062
"hBM","B cells","B_C1_CRIP1",18,0.3
"hBM","B cells","B_C2_IGHM_Bn",27,0.449
"hBM","B cells","B_C3_HSPA1A",19,0.316
"hBM","B cells","B_C4_FCRL1",1994,33.195
"hBM","B cells","B_C5_IFIT3",2,0.033
"hBM","B cells","B_C7_MKI67",474,7.891
"hBM","B cells","B_C8_BACH2",632,10.521
"hBM","B cells","B_C9_IGLL5",1,0.017
"hBM","Endothelial cells","EC_C10_COL1A2",109,2.191
"hBM","Endothelial cells","EC_C11_RROX1",21,0.422
"hBM","Endothelial cells","EC_C12_FCN3",216,4.342
"hBM","Endothelial cells","EC_C13_MKI67",14,0.281
"hBM","Endothelial cells","EC_C1_IGFBP7",732,14.714
"hBM","Endothelial cells","EC_C2_GJA5",758,15.236
"hBM","Endothelial cells","EC_C3_HSPA1A",162,3.256
"hBM","Endothelial cells","EC_C4_FLT1",283,5.688
"hBM","Endothelial cells","EC_C5_ROBO2",1913,38.452
"hBM","Endothelial cells","EC_C6_ACKR1",239,4.804
"hBM","Endothelial cells","EC_C7_IL6",276,5.548
"hBM","Endothelial cells","EC_C8_IL32",181,3.638
"hBM","Endothelial cells","EC_C9_CXCR4",71,1.427
"hBM","Epithelial cells","Epithelial",2116,100
"hBM","Mast cells","Mast",574,100
"hBM","Mesenchymal cells","F_C1_MMP11",526,2.461
"hBM","Mesenchymal cells","F_C2_MIF",392,1.834
"hBM","Mesenchymal cells","F_C3_CXCL12",9902,46.327
"hBM","Mesenchymal cells","F_C4_IGF1",970,4.538
"hBM","Mesenchymal cells","F_C5_SPP1",6139,28.722
"hBM","Mesenchymal cells","F_C6_COL2A1",448,2.096
"hBM","Mesenchymal cells","F_C7_MKI67",40,0.187
