"gene","B_C1_CRIP1","B_C10_LOMO2","B_C11_MZB1_PC","B_C2_IGHM_Bn","B_C3_HSPA1A","B_C4_FCRL1","B_C5_IFIT3","B_C6_ZZF331","B_C7_MKI67","B_C8_BACH2","B_C9_IGLL5"
"RCAN3AS",0.13,0.44,0.16,0.1,0.1,2.42,0.07,0,0.61,0.62,0
"RCAN3",11.91,10.54,6.09,9.65,10.65,12.8,11.93,8.45,17.5,4.34,5.27
"NCMAP-DT",0.58,0.11,0,0.48,0.32,1,0.38,0.1,0.61,0.08,0.09
"NCMAP",0.09,0.22,0.26,0.04,0.13,0.32,0,0.14,0.23,0.39,0.18
"SRRM1",54.18,64.76,80.98,53.84,53.87,56.82,59.83,45.7,87.14,59.43,39.68
"CLIC4",10.18,54.45,42.22,9.61,9.98,36.08,14.18,9.08,71.39,24.36,7.51
"RUNX3",25.9,21.19,10.63,21.61,27.76,23.94,32.29,14.3,27.4,7.76,19.21
"SYF2",39.92,67.4,76.54,40.68,36.51,42.22,41.29,28.84,77.55,65.71,39.77
"RSRP1",46.11,64.76,72.62,47.24,57.8,57.12,61.82,48.02,75.49,59.04,5
"RHD",0.2,0.33,8.2,0.1,0.1,4.5,0.05,0,3.27,6.9,0.09
"TMEM50A",28.8,54.12,64.1,26.74,26.39,25.54,41.63,27.97,70.93,39.95,27.79
"RHCE",0.1,0.11,1.56,0.11,0.17,1.25,0.34,0.14,2.44,1.63,0
"MACO1",7.19,13.17,48.22,7.83,6.34,23.99,5.7,6.23,46.5,32.74,0.36
"LDLRAP1",1.62,0.33,4.5,1.08,1.81,1.8,1.6,0.97,5.18,0.54,2.06
"MAN1C1",0.14,0.22,4.8,0.13,0.11,0.76,0.07,0.1,6.62,0.7,0.18
"SELENON",1.1,0.55,7.03,0.79,0.96,1.83,0.38,0.39,5.4,1.16,0
"MTFR1L",3.07,6.04,5.67,3.29,3.15,3.08,5.75,2.17,11.49,5.97,2.41
"AUNIP",0.01,0.33,0.45,0.03,0.03,0.29,0.05,0,8.37,0.08,0
"PAQR7",0.52,0.11,0.39,0.28,0.48,0.4,0.6,0.1,1.14,0.47,0.45
"STMN1",10.53,45.88,73.53,20.26,20.95,18.32,12.55,17.68,96.8,78.82,17.16
"PAFAH2",0.77,0.88,2.92,0.67,0.83,1.57,1.39,0.48,1.75,8.92,0.71
"EXTL1",0.01,0,0,0,0,0.06,0,0.1,0,0,0
"PDIK1L",1.71,1.54,6.03,1.53,1.13,2.64,1.27,1.06,9.28,2.87,0.8
"FAM110D",0.03,0,0.1,0.02,0.01,0.04,0.05,0.1,0.23,0.08,0
"ZNF593",13.46,28.1,6.77,13.08,14.03,5.97,18.23,13.09,20.02,6.67,18.14
"CNKSR1",0.22,0.33,0.36,0.21,0.16,0.17,0.19,0.19,0.76,0.16,0
"CEP85",0.93,1.98,5.77,0.78,1.02,2.53,1.84,0.68,21.39,3.65,0.45
"SH3BGRL3",76.88,89.46,93.16,70.89,70.71,66.71,85.32,69.66,89.35,64.39,75.07
"UBXN11",7.44,8.78,5.67,3.08,5.91,3.56,8.26,4.3,11.87,2.02,3.4
"CD52",86.26,91,58.65,84.75,82.72,85.59,91.78,73.48,82.5,43.91,89.81
"CRYBG2",0.14,0.33,0.58,0.08,0.11,2.64,0.02,0.1,0.46,0.85,0
"ZNF683",0.1,0.44,0.1,0.13,0.09,0.45,0.43,0.34,0.3,0.23,0
"LIN28A",0.01,0,0.13,0.01,0.01,0.04,0,0.05,0.08,0.08,0.09
"DHDDS",4.61,8.78,11.73,4.5,3.66,8.37,6.13,3.24,17.5,6.59,2.41
"HMGN2",58.83,87.38,77.93,63.43,61.08,58.81,70.75,52.56,97.87,66.1,56.39
"ARID1A",18.09,23.05,62.64,15.94,16.92,33.51,19.64,8.31,63.39,51.51,8.94
"PIGV",1,2.85,2.53,1.04,1.21,1.73,1.6,0.97,5.25,1.01,0.8
"ZDHHC18",2.9,3.4,6.68,1.52,2.49,3.76,2.49,0.72,8.14,2.09,1.43
"SFN",1.3,4.61,0.1,1.23,1.27,0.1,0.84,0.48,2.05,0.08,21.98
"GPN2",5.23,11.86,10.27,5.05,5.12,5.72,7.28,4.4,21.23,7.14,5.18
"GPATCH3",4.39,9.55,8.91,4.03,4.91,3.03,6.92,4.93,11.57,4.97,4.65
"NUDC",28.08,40.29,38.66,23.83,27.52,24.41,34.08,23,70.78,26.45,23.86
"KDF1",0.31,0.44,0.36,0.15,0.23,0.61,0.14,0.29,0.61,0.23,0
"TRNP1",0.1,0,0.13,0.11,0.27,0.26,0.07,0.19,0.53,0,0.18
"TENT5B",0.02,0,0,0.03,0.02,0.14,0.07,0.19,0.53,0.31,0
"SLC9A1",2.35,3.18,5.64,2.43,5.36,5.49,2.87,3.29,13.09,2.95,1.07
"WDTC1",4.57,10.98,35.09,4.79,4.25,12.41,4.53,3.48,28.16,15.83,2.23
"TMEM222",8.93,14.71,14.81,8.12,8.53,6.77,14.23,7.34,26.33,6.9,7.15
"SYTL1",19.27,37.98,10.76,17.66,19.91,11.74,33.87,15.31,22.6,3.1,14.12
"MAP3K6",1.21,0.77,0.36,0.57,0.96,0.69,2.63,0.53,1.07,0.39,1.7
"FCN3",0.13,0,0.13,0.13,0.17,0.08,0.05,0.14,0,0.16,0.09
"WASF2",32.36,61.14,93.42,35.57,30.29,45.37,37.49,26.28,84.7,73.55,25.56
"AHDC1",1.62,2.85,56.71,1.58,2.23,4.9,2.4,0.77,36.07,34.76,1.7
"FGR",1.19,4.61,1.3,3.26,1.54,7.11,7.59,2.51,3.2,2.09,2.86
"IFI6",16.13,11.53,9.4,14.04,20.95,5.68,66.54,15.7,18.42,4.42,9.2
"FAM76A",6.67,10.21,9.46,7.24,5.69,9.66,7.62,4.69,18.65,9.23,4.65
"STX12",12.74,39.08,37.27,12.58,12.24,27.67,19.38,12.42,40.87,29.33,10.72
"PPP1R8",6.17,10.1,13.29,5.41,4.94,5.2,6.2,5.56,23.74,6.13,6.34
"THEMIS2",20.12,16.03,36.16,11.66,13.45,6.98,24.79,15.02,20.02,4.19,9.2
"RPA2",24.85,25.8,14.29,22.38,19.46,16.28,28.81,19.42,47.18,9.78,21.36
"SMPDL3B",0.07,0.22,0.19,0.06,0.03,0.18,0.1,0.14,0.23,0.16,0
"XKR8",3.37,3.07,1.69,2.57,2.22,1.24,4.98,2.61,3.88,1.16,1.97
"EYA3",4.12,18.77,18.08,3.61,3.38,15.16,6.25,3.14,29,14.43,2.32
"PTAFR",2.97,8.34,1.46,0.75,1.48,1.51,6.42,1.45,4.72,0.78,1.16
"DNAJC8",32.35,55.21,58.91,32.91,28.55,35.46,36.22,26.71,80.9,40.96,31.55
"ATP5IF1",21.04,46.21,47.73,19.22,16.22,30.89,14.3,14.93,73.97,30.26,2.06
"SESN2",3.23,6.81,2.46,4.8,4.6,4.14,3.69,4.98,10.12,4.03,2.23
"MED18",2.25,5.05,3.92,2.13,1.75,2.81,2.99,2.03,8.3,2.25,1.88
"PHACTR4",9.47,8.67,51.52,9.75,10.08,25.91,10.16,5.41,50,38.48,6.34
"RCC1",5.53,11.09,26.9,4.42,8.99,9.67,11.62,4.15,41.78,12.88,3.93
"SNHG3",7.3,13.61,1.39,9.97,8.15,14.3,5.22,5.94,17.43,6.36,0.27
"TRNAU1AP",9.75,20.31,13.16,7.85,8.3,10.49,12.46,6.33,41.63,11.95,9.56
"SNHG12",25.69,36.77,11.92,24.53,42.07,15.67,36.69,23.77,34.17,8.61,16.62
"TAF12",9.39,25.03,11.7,8.38,7.9,10.43,15.57,7.68,34.32,9.31,8.31
"RAB42",0.07,0,0.06,0.06,0.02,0.07,0.1,0,0.15,0.08,0.09
