"gene","B_C1_CRIP1","B_C10_LOMO2","B_C11_MZB1_PC","B_C2_IGHM_Bn","B_C3_HSPA1A","B_C4_FCRL1","B_C5_IFIT3","B_C6_ZZF331","B_C7_MKI67","B_C8_BACH2","B_C9_IGLL5"
"DOC2A",0.02,0,0.29,0.08,0.02,0.15,0,0,0,0,0
"C16orf92",0,0,0,0,0,0,0,0,0,0,0
"TLCD3B",0.01,0,0.03,0.01,0.01,0,0,0.05,2.89,0.23,0
"ALDOA",26.9,51.48,3.63,19.78,32.76,2.33,53.99,34.3,27.63,2.56,58.62
"PPP4C",25.81,57.19,34.51,22.44,22.66,13.98,37.34,22.66,64.61,21.33,29.04
"TBX6",0.19,0,0.29,0.28,0.26,0.37,0.38,0.39,0.84,0.39,0.36
"YPEL3",30.48,30.08,60.92,27.23,24.22,31.15,28.55,20.14,43.3,49.34,16.8
"GDPD3",0.23,0.77,1,0.35,0.29,0.36,0.43,0.24,0.91,0.54,0.18
"MAPK3",3.36,6.92,6.12,2.89,2.97,3.04,4.02,2.51,14.38,3.65,2.06
"CORO1A",73.69,94.84,30.59,66.15,69.24,47.74,84.74,63.86,80.06,33.05,75.34
"BOLA2B",3.7,9.99,1.2,2.89,2.86,1.43,4.29,3.33,9.89,1.55,2.5
"SLX1A",0.48,1.43,0.39,0.22,0.46,0.23,0.96,0.43,2.13,0.54,0.36
"SULT1A3",1.43,3.07,1.94,0.95,1.29,0.63,2.11,0.58,4.34,1.01,0.8
"NPIPB13",0.2,0.55,2.07,0.16,0.13,1,0.1,0,1.22,2.17,0
"CD2BP2",15.32,41.6,16.46,15.02,12.8,8.9,21.13,11.3,42.01,15.05,19.66
"CD2BP2-DT",0.1,0.22,0,0.09,0.12,0.15,0.05,0.14,0.23,0.08,0
"TBC1D10B",3.41,5.82,9.62,2.76,2.49,3.4,4.05,1.11,19.63,5.35,2.23
"MYLPF",0.52,1.54,1.39,0.73,0.62,0.92,0.72,0.14,1.75,1.24,0.45
"ZNF48",1.32,1.32,5.12,1.12,1.11,2.09,1.99,0.53,7.38,2.48,1.16
"SEPTIN1",14.06,30.95,1.13,12.79,10.92,12.27,9.75,19.28,24.51,5.66,0.27
"ZNF771",1.1,4.72,12.54,0.9,1.32,1.82,2.2,0.72,14.84,4.89,0.8
"DCTPP1",12.17,25.36,7.49,8.88,9.39,6.87,17.77,7.34,38.96,7.76,15.91
"SEPHS2",11.37,40.4,21.91,11.77,9.73,9.59,17.7,8.74,37.06,14.58,10.81
"ITGAL",7.85,20.42,3.89,5.56,8.06,10.62,13.1,4.59,21.54,3.26,3.93
"ZNF768",1.27,0.99,2.59,1.17,0.95,1.49,1.22,0.82,3.35,2.17,1.34
"ZNF747",1.93,1.21,2.53,2.08,1.57,1.94,2.01,1.5,5.1,2.72,2.59
"ZNF764",2.21,2.96,3.34,2.11,1.89,1.84,2.42,1.45,4.64,2.17,1.52
"ZNF688",4.79,5.6,5.96,3.93,3.59,4.82,4.74,2.71,11.57,3.65,4.29
"ZNF785",1.62,1.43,6.77,1.31,1.16,3.04,1.94,0.92,6.32,3.49,1.34
"ZNF689",3.96,3.51,5.06,3.53,4.74,1.93,4.79,4.25,7.91,2.4,3.66
"PRR14",5.46,9.11,4.96,5.3,6.2,3.88,8.72,4.25,12.25,4.97,8.49
"FBRS",10.94,16.36,19.38,9.25,12.91,13.35,13.53,5.6,18.8,14.66,6.17
"SRCAP",6.99,8.45,5.64,8.05,7.04,7.69,6.68,6.28,16.97,5.59,5.72
"TMEM265",0.86,0.55,0.19,0.77,0.77,1.43,0.65,0.29,2.82,1.01,0
"PHKG2",5.56,11.31,5.83,4.81,5.05,4.1,8.48,4.3,18.49,5.51,4.02
"CCDC189",0.77,5.05,0.97,0.88,0.9,0.65,1.53,0.58,12.18,3.41,0.18
"RNF40",5.08,10.87,14.58,5.08,5.56,5.45,9.53,6.52,22.68,8.61,3.22
"ZNF629",0.19,0.11,4.37,0.52,0.35,0.41,0.12,0.39,2.97,2.79,0.27
"BCL7C",10.35,18.77,19.31,9.1,8.06,14.38,9.82,4.4,43.61,18.23,5.81
"MIR762HG",0.83,1.21,10.11,0.87,0.74,4.17,1.46,0.39,11.34,8.77,0.18
"CTF1",0.08,0.88,1.46,0.17,0.12,0.21,0.12,0.1,1.98,1.94,0.18
"FBXL19-AS1",0.42,0.33,1.98,0.35,0.39,0.67,0.48,0.39,2.05,1.01,0.45
"FBXL19",0.83,1.32,8.91,0.62,0.87,1.53,1.01,0.43,6.24,2.02,0.89
"ORAI3",6.75,11.31,26.05,6.37,6.65,5.23,8.48,6.86,14.61,11.79,5.63
"SETD1A",2.55,3.73,11.99,2.5,2.59,4.73,2.9,1.21,15.83,6.05,1.79
"HSD3B7",0.12,0.33,0.29,0.13,0.19,0.19,0.41,0.1,0.61,0.16,0.36
"STX1B",0.19,0,0.65,0.13,0.28,0.23,0.31,0.1,0.15,0.23,0.18
"STX4",12.02,17.56,12.7,13.14,18.88,9.43,20.84,10.72,17.05,8.22,10.81
"ZNF668",1.66,2.96,2.59,1.51,1.99,1.33,3.81,1.3,6.47,1.78,1.16
"ZNF646",2.3,3.29,5.02,2.53,2.27,3.08,3.5,1.74,8.9,2.33,0.54
"PRSS53",0.4,0.44,0.1,0.3,0.27,0.33,0.5,0.14,0.53,0.16,0
"VKORC1",8.38,11.86,8.72,6.96,5.76,5.39,5.8,9.32,25.27,5.59,13.4
"BCKDK",4.17,11.31,4.83,3.57,3.57,2.2,7.47,3.72,18.19,2.25,5.63
"KAT8",7.81,12.84,23.1,7,8.06,10.24,8.55,6.86,26.18,15.75,5.27
"PRSS8",0.14,0.22,0.13,0.14,0.2,0.18,0.17,0.34,0.08,0.08,0.8
"PRSS36",0.04,0,0.1,0.14,0.07,0.11,0.12,0.05,0.3,0.31,0.09
"FUS",68.67,82.66,83.6,70.11,79.53,66.11,76.41,74.4,94.75,65.01,46.38
"PYCARD",20.74,25.58,33.51,10.73,16.53,12.54,32.98,11.88,43.46,20.02,12.33
"PYCARD-AS1",1.7,1.1,1.46,1.19,1.43,3.11,2.63,1.06,3.73,3.03,0.18
"TRIM72",0.24,0,0.68,0.18,0.63,0.61,0.29,0,1.67,0.7,0.09
"ITGAM",3.59,0.22,0.78,1.06,3,4.31,3.83,1.21,1.07,1.16,1.07
"ITGAX",2.06,1.21,1.04,0.4,1.42,2.5,14.61,1.88,2.66,1.47,0.71
"ITGAD",0.01,0.22,0.13,0.01,0,0.06,0.02,0,0.08,0,0
"ZNF843",0.06,0,0.49,0.07,0.08,0.21,0.07,0,0.46,0.23,0.63
"ARMC5",2.99,4.17,3.95,2.16,3.99,1.73,4.22,1.93,5.63,1.63,1.34
"TGFB1I1",0.22,0.22,0.36,0.16,0.19,0.23,0.53,0.29,0.53,0.54,0.09
"C16orf58",3.41,4.61,6.42,3.46,3.87,3.52,4.84,2.9,6.47,3.34,1.7
"AHSP",0.06,0.11,1.1,0.08,0.03,0.87,0,0.1,1.07,1.16,0.27
"ZNF720",6.09,15.04,35.84,6.59,6.27,12.1,10.49,4.78,25.8,25.45,4.11
"ZNF267",14.31,20.75,23.82,11.78,17.09,14.92,21.53,11.55,27.93,13.5,7.51
"SHCBP1",0.88,10.76,1.3,0.29,0.33,0.81,2.68,0.39,53.73,0.62,0.71
"VPS35",23.94,26.67,41.87,23.53,19.94,22.83,28.48,16.91,53.81,26.3,18.32
"ORC6",1.77,7.24,2.5,2.51,2.39,2.16,3.43,1.55,59.59,2.48,0.98
"MYLK3",0.08,0.11,0.55,0.11,0.08,0.26,0.05,0,1.29,0.7,0
"C16orf87",5.39,20.75,28.52,5.65,6.56,11.08,9.75,3.29,38.66,27.39,3.66
"GPT2",0.72,5.93,0.42,0.94,0.96,1.28,1.51,0.72,5.1,9.46,0.98
"DNAJA2",25.47,39.63,43.13,26.41,23.78,20.05,28.96,22.32,51.37,28.55,16.44
"NETO2",2.02,2.41,0.52,1.75,3.28,3.61,1.92,2.61,7.38,9.85,1.34
"ITFG1-AS1",0.01,0,1,0,0,1.07,0,0,0.61,0.93,0
"ITFG1",8.84,18.99,59.66,8.19,8.93,44.67,14.92,9.9,54.34,45.23,6.52
"PHKB",15.97,23.93,57.55,15.21,14.71,44.02,18.8,8.65,49.47,45.31,7.42
"ABCC11",0.02,0.11,1.26,0.03,0.03,0.62,0.02,0.19,0.68,0.54,0
"LONP2",12.56,21.08,50.32,12.27,11.54,29.08,15.11,11.5,41.78,30.02,6.52
"SIAH1",5.76,7.24,52.01,5.44,5.52,17.61,6.92,5.41,36.83,31.65,6.7
"N4BP1",8.57,7.57,49,7.47,7.43,15.27,12.14,4.01,33.03,21.41,3.49
"CBLN1",0,0,0,0,0,0,0,0,0,0,0
"C16orf78",0,0,0,0,0,0.01,0,0,0,0,0
"ZNF423",0.01,0,9.33,0.01,0.01,0.26,0,0.1,8.07,0.93,0
"CNEP1R1",4.35,6.04,6.8,3.82,3.71,4.39,4.93,2.56,10.81,3.49,1.7
"HEATR3",1.46,3.18,9.3,1.4,1.33,3.98,1.99,1.35,9.36,7.06,0.8
"TENT4B",4.8,4.72,32.66,5.4,4.69,15.63,2.66,2.08,26.48,16.6,0.63
"ADCY7",5.32,5.71,8.39,4.28,5.33,7.39,7.95,3.72,8.07,3.8,1.88
"BRD7",14.7,21.41,61.41,16.39,12.73,26.46,15.11,8.16,67.58,30.1,8.13
"NKD1",0.41,0.33,1.52,0.32,0.43,1.16,0.31,0.34,2.05,0.39,0.18
"SNX20",4.05,9.55,15.13,3.61,3.35,4.91,12.26,3.77,14.92,15.83,2.77
"NOD2",0.25,0.55,2.82,0.11,0.27,0.84,1.34,0.05,1.37,5.82,0.18
"CYLD",28.47,25.14,38.43,25.01,29.83,40.39,30.87,20.29,34.7,31.03,14.92
"HNRNPA1P48",2.98,7.03,14.84,3.42,2.39,3.48,1.53,1.06,26.26,6.59,0.18
"C16orf97",0,0,0,0,0,0.03,0,0,0,0,0
"TOX3",0.02,0,0.1,0.02,0.03,0.15,0,0,0.08,1.55,0
"CASC16",0,0,0.03,0,0,0.03,0,0,0.08,0,0
"CHD9",22.09,37.32,84.71,24.87,23.16,52.36,27.16,17.34,72.98,74.09,13.67
"RBL2",10.68,21.3,29.84,12.07,9.71,25.09,13.49,11.4,32.72,24.9,6.08
"AKTIP",2.09,4.5,2.95,2.35,2.32,3.18,2.16,1.55,5.02,2.79,1.79
"RPGRIP1L",0.98,0.55,2.92,0.79,0.8,1.47,0.74,0.87,6.85,1.55,0.8
"FTO",3.4,4.83,44.04,3.06,3.22,30.77,4.55,3.82,37.06,29.56,1.16
"IRX3",0.08,0.11,0.26,0.1,0.11,0.44,0.22,0,0.23,0.16,0.18
"CRNDE",0.41,2.52,7.19,0.24,0.3,0.98,0.65,0.72,30.67,5.9,0.98
"IRX5",0.03,0,0.26,0.02,0.01,0.14,0.05,0.1,0.68,0.16,0.09
"MMP2",0.24,0.33,1.3,0.18,0.2,0.67,0.1,0.48,1.29,1.01,0.27
"MMP2-AS1",0.02,0,0.1,0.01,0,0.12,0,0,0.08,0,0
"LPCAT2",0.13,0.55,33.15,0.18,0.11,1.8,0.07,0.29,15.14,9,0
"SLC6A2",0,0,0,0,0,0,0,0,0,0,0
"CES1",0.3,0,0.39,0.09,0.17,0.36,0.19,0.05,0.68,0.08,0.63
"CES5A",0,0,0,0,0,0.03,0,0,0.15,0,0
"GNAO1",0.17,0.33,1.17,0.18,0.18,0.41,0.6,0.34,1.6,0.47,0
"AMFR",11.49,34.69,44.65,10.12,9.66,21.88,13.32,4.59,39.19,27.7,8.76
"NUDT21",13.19,37.76,25.41,12.58,12.09,12.66,21.49,13.43,67.12,13.27,10.99
"OGFOD1",4.7,7.57,8.04,4.27,4.48,4.91,6.59,4.69,17.73,4.34,3.49
"BBS2",2.96,2.96,5.8,2.37,2.61,4.83,2.66,3,5.86,2.56,1.07
"MT4",0,0,0.03,0,0,0.01,0,0,0,0,0
"MT3",0.02,0,0.03,0.01,0.03,0.01,0,0,0.08,0,0
"MT2A",19.37,26.13,9.95,21.08,24.48,9.73,48.62,19.57,33.33,7.06,15.28
"MT1E",1.7,3.07,0.62,1.96,2.16,1,4.05,1.98,3.96,0.54,1.43
"MT1M",0.33,0.33,0.91,0.19,0.3,0.25,0.1,0.1,0.46,0.7,0.18
"MT1A",0.09,0,0.49,0.06,0.08,0.22,0.02,0.05,0.53,0.23,0.27
"MT1F",3.99,6.7,0.39,4.91,5.03,1.32,9.99,3.62,5.56,0.62,1.7
"MT1G",0.61,1.65,0.1,0.74,0.85,0.26,0.86,0.68,1.98,0.39,0.54
"MT1X",8.78,16.58,58.52,11.16,12.53,2.16,19.69,8.99,30.82,13.96,7.06
"NUP93",3.19,9,18.28,2.67,3.32,8.97,6.68,2.95,32.57,10.94,2.59
"SLC12A3",0.45,1.98,0.13,0.22,0.64,0.47,1.44,0.29,1.07,0,0.27
"HERPUD1",69.51,91.33,28.48,74.47,77.76,52.46,73.25,75.7,67.43,40.42,69.62
"CETP",0.22,0.11,5.35,0.18,0.23,0.51,0.14,0.34,3.73,1.63,0.09
"NLRC5",11.22,9.33,45.01,7.52,11.99,22.87,18.66,5.89,39.95,41.19,3.75
"CPNE2",0.17,0.44,21.52,0.13,0.18,0.85,0.19,0.14,14.84,9.23,0
"FAM192A",10.84,22.5,28.81,9.18,10.87,17.88,20.29,8.6,45.43,23.97,8.67
"RSPRY1",8.39,15.81,31.27,8.08,8.13,12.36,9.87,7.68,31.74,17.53,6.61
"ARL2BP",12.77,25.25,14.81,9.22,11.51,9.45,14.9,10.48,26.1,6.9,11.71
"PLLP",0.34,0.55,0.45,0.26,0.34,0.5,0.22,0.05,1.07,0.08,0.45
"CX3CL1",0.09,0,0,0.13,0.1,0.18,0.05,0,0.08,0,0.27
"CCL17",0.71,0.33,0.06,0.67,0.98,0.07,0.74,0.77,0.84,0,0.18
"CIAPIN1",5.22,13.28,12.96,4.22,5.03,4.6,8.24,3.77,24.28,7.6,6.43
"COQ9",3.81,10.43,6.03,3.27,3.29,2.68,5.94,3.29,13.17,4.11,3.49
"POLR2C",16.86,23.82,21.48,15.69,15.67,8.59,20.05,13.67,38.66,8.92,16
"DOK4",0.17,0.77,6.32,0.14,0.1,0.11,0.22,0.1,4.64,0.23,0
"CCDC102A",1.66,6.59,12.44,1.12,1.51,2.52,2.08,1.06,12.02,1.32,0.09
"ADGRG5",2.98,13.28,3.01,1.46,3.28,7.16,11.95,2.17,11.26,2.56,0.36
"ADGRG1",0.09,0.33,6.09,0.1,0.11,0.58,0.12,0.34,6.39,0.78,0.09
"ADGRG3",0.03,0,1.26,0.04,0.03,0.3,0.02,0,1.07,0.78,0
"DRC7",0.02,0,0.62,0,0.01,0.07,0,0,0.53,0.16,0
"KATNB1",1.47,2.31,5.15,1.12,1.35,1.06,1.94,0.92,9.59,1.71,0.8
"KIFC3",0.08,0.44,0.81,0.13,0.05,0.52,0.05,0.14,1.14,0.62,0
"CNGB1",0,0,0.13,0.01,0.01,0.08,0,0,0.15,0.08,0.18
"TEPP",0.08,0,0.1,0.13,0.07,0.15,0,0.1,0.15,0.16,0.18
"ZNF319",0.56,0.88,2.2,0.41,0.37,0.58,0.48,0.39,1.14,1.16,0.36
"USB1",4.21,9.11,3.66,3.25,3.68,3.39,7.81,3.38,13.85,3.72,3.49
"MMP15",0.05,0,0,0.01,0.01,0.1,0.02,0.05,0.15,0.08,0.09
"CFAP20",6.81,13.83,39.53,8.39,7.6,6.63,7.66,6.81,45.51,13.89,0.18
"CSNK2A2",7.92,13.83,40.05,8.35,6.93,12.32,7.04,1.16,40.56,19.63,3.4
"CCDC113",0.2,0.77,0.16,0.09,0.21,0.33,0.36,0.24,1.07,0.16,0
"GINS3",0.56,2.2,3.73,0.55,0.48,0.47,0.77,0.72,18.65,3.18,0.45
"NDRG4",0.04,0.33,1.72,0.06,0.09,0.54,0.07,0,1.22,4.5,0.18
"SETD6",2.15,3.4,2.92,1.91,2.19,2.2,1.7,1.35,5.78,2.79,1.16
"CNOT1",16.95,26.13,63.9,17.19,18.6,39.36,21.15,13,67.81,43.37,10.28
"SLC38A7",0.97,0.88,2.5,1.15,1.03,1.11,1.49,0.72,2.21,1.55,0.45
"GOT2",4.04,18.44,14.26,3.03,3.42,4.76,6.47,3.29,35.01,10.47,3.49
"CDH8",0,0.11,1.43,0.01,0,0.21,0.02,0,0.23,0.39,0
"CDH11",0.03,0.11,1.3,0.06,0.05,0.51,0,0.14,0.53,0.85,0.09
"CDH5",0.07,0,0.19,0.06,0.14,0.14,0.07,0.29,0,0.16,0
"BEAN1",0,0,0.39,0,0,0.39,0,0,0.23,0.23,0
"BEAN1-AS1",0,0,0.03,0,0,0,0,0,0.08,0,0
"TK2",0.79,1.43,6.16,0.78,0.84,1.72,0.98,0.48,5.56,0.78,0.54
"CKLF",11.61,21.73,14.94,10.48,11.66,14.09,16.6,10.14,53.58,3.26,8.58
"CMTM1",0.01,0.22,0.49,0.04,0.03,1.22,0.02,0,3.2,0.31,0
"CMTM2",0.04,0.11,5.96,0.08,0.04,0.11,0.02,0,2.36,0.08,0.36
"CMTM3",0.86,6.04,12.61,2.6,0.88,2.19,5.03,2.66,12.86,0.78,3.31
"CMTM4",0.05,0.11,3.89,0.05,0.07,0.52,0.07,0.05,3.73,0.31,0
"DYNC1LI2",10.56,17.67,37.1,11.06,9.48,13.71,12.41,7.87,36.76,15.59,5.9
"TERB1",0,0,0.91,0,0.01,0.44,0,0,0.91,0.62,0
"NAE1",9.39,8.67,29.03,7.44,8.18,11.34,8.69,5.31,39.04,7.76,7.86
"CA7",0.01,0,0.16,0,0,0,0,0,0.08,0,0
"PDP2",0.78,0.33,1,0.83,0.67,0.73,0.81,0.39,1.29,0.54,0.36
"RRAD",0.84,0.55,1,0.95,3.21,0.91,1.51,0.72,1.07,0.62,1.34
"CIAO2B",16.02,35.35,2.27,18.37,11.89,17.88,11.16,21.11,33.33,14.82,0.45
"CES2",3.82,6.7,6.48,4.08,4.03,3.21,5.72,2.95,7.69,3.88,4.74
"CES3",0.05,0.11,0.13,0.04,0.03,0.06,0.02,0.1,0.23,0.08,0.18
"CES4A",0.41,1.65,0.97,0.33,0.33,0.4,0.86,0.39,0.76,0.23,0.8
"CBFB",11.22,23.49,59.2,10.9,9.77,27.4,14.99,9.42,64.84,34.99,6.79
"C16orf70",1.94,3.73,8.85,1.67,2.04,3.1,2.54,1.98,9.67,6.36,1.34
"B3GNT9",0.09,0.22,0.45,0.07,0.08,0.18,0.12,0.14,0.3,0.16,0.09
"TRADD",11.75,16.9,7.36,7.64,9.47,9.37,18.47,7.49,12.94,5.04,6.88
"FBXL8",0.53,1.32,1.33,0.27,0.28,0.73,1.13,0.19,1.22,0.7,0.27
"HSF4",0.14,0.11,0.45,0.07,0.03,0.17,0.22,0.05,0.15,0.08,0
"NOL3",0.07,0.33,0.45,0.07,0.14,0.26,0.12,0.1,0.53,0.39,0.27
"KIAA0895L",0.44,1.98,1.13,0.26,0.34,0.52,0.67,0.24,3.2,0.31,0.09
"EXOC3L1",0.05,0,0.03,0.03,0.03,0.04,0.05,0,0,0,0
"E2F4",10.52,23.49,9.33,10.05,9.35,6.62,11.38,7.54,28.84,5.82,8.67
"ELMO3",0.84,1.54,0.39,0.65,0.63,0.29,1.01,0.48,1.14,0.39,0.54
"LRRC29",0.32,1.1,2.69,0.36,0.35,1.28,1.01,0.68,2.74,1.09,0.27
"TMEM208",16.62,29.97,21,16.75,14.85,8.78,20.69,13.24,37.9,10.32,20.91
"FHOD1",2.32,4.39,1.26,1.26,2.09,1.83,4.69,1.3,8.6,1.32,1.43
"SLC9A5",0.1,0.33,1.3,0.04,0.12,0.48,0.17,0.05,1.37,0.54,0
"PLEKHG4",0.1,0.11,0.49,0.12,0.14,0.1,0.24,0.05,0.68,0.08,0.18
"KCTD19",0.01,0,0.32,0.04,0.04,0.19,0.05,0,1.98,0.16,0.8
"LRRC36",0.05,0.11,0.36,0.05,0.05,0.3,0.07,0,1.52,0.62,0
"TPPP3",0.14,0,0.16,0.21,0.12,0.14,0.07,0,0.08,0.08,0.8
"ZDHHC1",0.08,0,0.87,0.09,0.1,0.3,0.07,0.19,0.46,0.47,0
"HSD11B2",0.05,0,1.62,0.06,0.02,0.91,0.02,0.05,0.84,1.09,0
"ATP6V0D1",26.85,50.71,28.48,27.48,29.44,20.85,36.55,26.81,46.96,20.33,29.31
"RIPOR1",7.41,2.63,47.12,7.04,6.47,21.67,4.72,4.93,24.96,34.6,0.27
"CTCF",16.21,22.5,45.98,15.84,12.82,26.16,16.1,10.19,71,35.14,7.06
"CARMIL2",2.2,4.17,3.14,2.47,1.93,2.72,1.89,1.35,8.45,2.09,0.09
"ACD",8,11.42,6.58,6.94,9.61,3.19,10.08,7.68,20.09,4.73,6.97
"PARD6A",7.56,4.94,7.49,7.49,7.1,4.29,5.8,6.62,14.54,3.88,5.9
"ENKD1",0.53,0.66,4.83,0.52,0.57,0.96,0.26,0.14,7.61,4.5,0.27
"C16orf86",0.8,1.32,3.14,0.79,0.68,1.57,1.58,0.48,2.13,2.95,0.71
"GFOD2",2.56,3.73,10.86,2.13,2.07,4.31,3.07,1.64,14.76,7.06,1.7
"RANBP10",2.59,7.35,18.08,3.65,2.67,13.61,4.69,3.33,18.19,16.45,0.98
"TSNAXIP1",0.09,0.22,0.84,0.07,0.03,0.26,0.17,0,0.46,0.16,0
"CENPT",3.98,5.38,4.28,4.1,4.7,2.77,5.68,3.33,16.06,2.48,3.57
"THAP11",6.28,4.83,8.62,5.06,4.54,4.86,5.25,3.29,18.11,5.2,4.11
"NUTF2",16.17,43.47,27.97,14.33,14.3,9.88,24.81,12.66,61.26,13.96,14.21
"EDC4",2.64,4.28,2.07,2.5,2.97,2.05,4.36,1.98,8.52,1.94,0.36
"NRN1L",0.1,0.33,0.06,0.11,0.07,0.17,0.1,0.1,0.08,0.08,0.09
"PSKH1",1.32,2.52,6.77,1.06,0.76,2.41,1.6,0.77,7.53,3.1,1.16
"CTRL",0.36,0.55,0.23,0.43,0.35,0.58,0.67,0.1,0.76,0.47,0.18
"PSMB10",28.06,56.42,18.05,25.02,24.18,15.26,51.28,25.85,51.22,16.45,15.46
"LCAT",0.34,0.22,0.23,0.34,0.41,0.43,0.62,0.1,1.29,1.01,0.27
"SLC12A4",0.7,2.74,1.49,0.62,0.63,0.94,1.44,0.43,4.72,1.4,0.98
"DPEP3",0.05,0.11,0.03,0.09,0.09,0.15,0.02,0.1,0,0.08,0
"DPEP2",3.29,4.61,2.59,5.38,4.21,14.66,5.51,3.91,1.83,4.65,3.13
"DUS2",4.75,11.31,3.63,3.79,3.63,11.3,10.04,3.19,11.04,5.66,3.75
"DDX28",2.6,3.29,4.24,2.99,1.95,2.22,2.63,2.08,7.91,2.72,5.63
"NFATC3",6.6,15.15,54.05,9.78,7.78,39.88,11.59,6.76,54.34,42.59,5.81
"ESRP2",0.06,0,0.29,0.03,0.04,0.19,0.1,0,0.15,0.16,0.09
"PLA2G15",0.67,2.52,17.89,0.73,0.88,1.1,1.63,0.53,10.5,11.02,0.45
"SLC7A6",7.26,17.78,30.78,5.7,6.78,14.56,9.44,5.8,27.17,17.38,3.93
"SLC7A6OS",7.76,15.59,25.76,7.73,6.2,10.94,10.92,5.51,29.76,14.51,4.38
"PRMT7",2.62,5.27,6.09,2.62,2.96,5.46,5.2,2.42,13.24,3.41,1.43
"SMPD3",0.31,0,0.26,0.21,0.43,0.34,1.01,0.58,1.83,0.47,0.36
"ZFP90",3.82,3.18,13.97,3.74,4.17,7.17,5.99,2.85,11.57,7.06,1.25
"CDH3",0.05,0.44,0.36,0.08,0.07,0.28,0.1,0.05,0.23,0.23,0.54
"CDH1",0.16,0.44,0.29,0.16,0.25,0.36,0.22,0.34,0.76,0.39,1.43
"TANGO6",2.05,2.2,11.02,2.24,2.24,16,2.35,2.08,15.07,8.22,0.63
"CHTF8",5.62,11.42,8.43,4.51,7.09,2.17,13.87,6.76,13.55,4.19,5.81
"UTP4",4.46,10.54,13.71,4.33,4.5,6.59,7.28,5.56,21.92,4.89,0.45
"SNTB2",2.88,5.38,6.42,2.55,2.82,5.72,2.42,1.11,19.86,7.68,1.25
"VPS4A",12.57,16.68,16.69,10.73,11.52,9.41,15.31,10.68,32.34,12.26,8.76
"COG8",2.01,5.6,5.25,2.08,2.37,2.24,4.31,2.17,8.75,4.19,1.79
"NIP7",14.7,30.41,19.38,12,13.15,6.37,16.36,9.76,35.69,13.03,11.71
"TMED6",0.25,1.32,2.24,0.13,0.17,0.74,0.24,0.05,1.37,1.01,0
"TERF2",11.25,39.08,70.16,6.93,7.83,15.27,11.76,3.14,56.24,32.89,2.32
"CYB5B",13.22,26.89,17.82,13.22,12.4,12.26,19.07,12.37,49.39,14.27,13.85
"NFAT5",16.37,43.36,74.47,14.14,21.76,50.13,28.43,16.81,55.25,43.37,8.31
"NQO1",0.59,1.98,3.14,0.54,0.51,1.58,1.05,1.64,4.34,1.01,0.63
"NOB1",11.36,25.58,16.69,11.19,10.03,7.4,16.02,9.66,25.57,9.15,12.78
"WWP2",6.1,12.4,38.43,5.78,5.97,29.43,10.9,6.96,38.89,35.07,3.22
"CLEC18A",0.19,0.22,0.29,0.11,0.17,0.25,0.14,0.05,0.23,0.47,0.09
"PDPR",3.5,5.71,14.87,3.57,3.23,8.39,4.43,3.04,21.31,10.63,1.34
"EXOSC6",13.3,15.26,32.18,14.66,12.5,15.49,10.3,4.3,35.01,17.69,8.67
"AARS",3.5,7.24,11.15,3.37,3.46,5.04,6.18,3.24,24.58,6.44,3.49
"DDX19B",5.8,14.82,6.74,6,4.93,7.68,7.74,5.12,24.89,6.59,5.81
"DDX19A",6.27,9,7.13,7.22,5.44,7.22,7.69,5.65,14.69,5.9,4.92
"ST3GAL2",2.18,9.44,16.95,2.93,2,8.79,2.85,1.59,22.07,20.02,2.5
"FCSK",0.44,0.77,0.03,0.47,0.35,1.42,0.41,0.48,0.99,0.47,0
"COG4",4.06,13.28,10.27,4.68,3.83,5.78,6.56,3.19,25.57,7.06,2.06
"SF3B3",9.55,18.66,28.52,9.79,8.71,16.05,11.98,7.1,48.55,14.66,5.45
"IL34",0.02,0,1.07,0.02,0,0.85,0.07,0.05,1.07,0.39,0.09
"MTSS2",0.02,0.44,0.26,0.02,0.04,0.41,0.1,0.05,0.99,0.31,0
"VAC14",3.46,6.26,13.84,2.86,2.89,7.71,5.49,3.96,17.2,9.85,1.43
"VAC14-AS1",0.15,0.33,0.45,0.21,0.13,0.44,0.12,0.05,0.61,0.62,0
"HYDIN",0.04,0,0.32,0,0.03,0.15,0.02,0,0.46,0.31,0
"CMTR2",9.27,8.01,12.41,10.27,8.03,6.96,11.95,5.51,15.37,18.23,7.15
"CALB2",0.03,0,0.03,0.02,0.04,0.06,0,0,0,0.08,0
"ZNF23",1.82,2.2,0.45,1.72,1.76,1.83,2.13,1.3,2.59,1.47,0.45
"ZNF19",0.91,1.1,0.97,0.94,0.87,2.38,1.46,0.82,1.67,0.62,0.54
"CHST4",0,0,0,0,0,0.04,0,0,0.08,0.08,0
"MARVELD3",0.12,0.11,0.16,0.11,0.1,0.17,0.12,0.05,0.38,0,0.27
"PHLPP2",2.51,4.06,14.52,2.45,2.33,13.62,2.16,1.69,16.21,12.18,1.52
"AP1G1",11.9,25.91,44.85,12.25,12.44,30.01,14.4,12.17,45.97,27.46,4.2
"ATXN1L",5.35,11.2,9.01,5.89,4.83,4.75,4.41,3.24,10.88,4.58,3.49
"IST1",18.4,33.26,60.11,16.59,17.1,29.6,21.68,15.36,54.87,35.22,13.14
"ZNF821",11.21,20.86,28.9,8.64,9.62,19,12.62,7.68,28.08,15.21,5
