"gene","EC_C1_IGFBP7","EC_C10_COL1A2","EC_C11_RROX1","EC_C12_FCN3","EC_C13_MKI67","EC_C2_GJA5","EC_C3_HSPA1A","EC_C4_FLT1","EC_C5_ROBO2","EC_C6_ACKR1","EC_C7_IL6","EC_C8_IL32","EC_C9_CXCR4"
"IGHV4-4",0.12,0,0,0,0.24,0.04,0.1,0.1,0.22,0.03,0.16,0.05,0.32
"IGHV2-5",0.42,0.09,0.31,0,0.71,0.39,0.5,0.43,0.49,0.62,0.75,0.42,1.14
"IGHV3-7",0.61,0.37,0.51,0.68,1.41,0.39,0.62,0.33,0.81,0.71,0.98,1.03,2.4
"IGHV3-11",0.22,0.28,0,0.23,0.47,0.08,0.22,0.08,0.3,0.18,0.42,0.42,1.2
"IGHV3-15",0.25,0.19,0,0.23,1.18,0.21,0.27,0.25,0.43,0.22,0.16,0.47,1.26
"IGHV1-18",0.31,0.09,0.1,0.68,1.65,0.23,0.42,0.3,0.6,0.62,0.39,0.66,1.83
"IGHV3-21",0.28,0.47,0,0.23,1.65,0.33,0.4,0.15,0.62,0.74,0.69,0.66,1.77
"IGHV3-23",0.58,0.56,0.1,0.23,2.59,0.79,0.42,0.43,0.87,0.62,0.46,0.8,2.59
"IGHV1-24",0.19,0,0,0,0,0.06,0.22,0.23,0.24,0.18,0.1,0.23,0.63
"IGHV3-30",0.34,0.09,0.2,0,1.65,0.19,0.47,0.46,0.54,0.68,0.72,0.8,2.09
"IGHV4-31",0.17,0.47,0.1,0,0,0.21,0.15,0.03,0.19,0.06,0.13,0.14,0.76
"IGHV3-33",0.36,0.09,0.1,0,1.65,0.14,0.45,0.25,0.89,0.34,0.49,0.94,1.96
"IGHV4-39",0.52,0.75,0.41,0.46,2.35,0.58,0.72,0.28,0.54,0.8,0.95,0.56,2.4
"IGHV3-43",0.09,0,0.1,0.23,0,0.02,0.12,0.08,0.11,0.09,0.26,0.14,0.57
"IGHV1-46",0.18,0,0.1,0,0.94,0.06,0.07,0.13,0.11,0.18,0.13,0.14,1.33
