"Cancer","CellMajor","CellMin1","n","pct"
"EC","Endothelial cells","EC_C1_IGFBP7",542,28.01
"EC","Endothelial cells","EC_C2_GJA5",181,9.354
"EC","Endothelial cells","EC_C3_HSPA1A",116,5.995
"EC","Endothelial cells","EC_C5_ROBO2",4,0.207
"EC","Endothelial cells","EC_C6_ACKR1",219,11.318
"EC","Endothelial cells","EC_C7_IL6",333,17.209
"EC","Endothelial cells","EC_C8_IL32",12,0.62
"EC","Endothelial cells","EC_C9_CXCR4",154,7.959
"EC","Epithelial cells","Epithelial",5624,100
"EC","Mast cells","Mast",480,100
"EC","Mesenchymal cells","F_C1_MMP11",723,17.721
"EC","Mesenchymal cells","F_C2_MIF",605,14.828
"EC","Mesenchymal cells","F_C3_CXCL12",87,2.132
"EC","Mesenchymal cells","F_C4_IGF1",1344,32.941
"EC","Mesenchymal cells","F_C5_SPP1",1,0.025
"EC","Mesenchymal cells","F_C6_COL2A1",1,0.025
"EC","Mesenchymal cells","F_C7_MKI67",48,1.176
"EC","Mesenchymal cells","F_C8_PLA2G2A",508,12.451
"EC","Mesenchymal cells","Per_C1_RGS5",312,7.647
"EC","Mesenchymal cells","Per_C2_MYH11",451,11.054
"EC","Myeloid cells","M_C10_MKI67_Macro",407,5.986
"EC","Myeloid cells","M_C11_MT1G_Macro",357,5.251
"EC","Myeloid cells","M_C12_HSPA1A_Macro",41,0.603
"EC","Myeloid cells","M_C13_MMP9_Macro",28,0.412
"EC","Myeloid cells","M_C14_CD1C_cDC",342,5.03
"EC","Myeloid cells","M_C15_LAMP3_cDC",169,2.486
"EC","Myeloid cells","M_C16_LILRA4_pDC",332,4.883
"EC","Myeloid cells","M_C17_S100A8_Neutro",1227,18.047
"EC","Myeloid cells","M_C18_ISG15_Neutro",130,1.912
"EC","Myeloid cells","M_C19_AZU1_Neutro",17,0.25
"EC","Myeloid cells","M_C1_IL1B_Mono",683,10.046
"EC","Myeloid cells","M_C2_S100A8_Mono",21,0.309
"EC","Myeloid cells","M_C3_FCGR3A_Mono",101,1.486
"EC","Myeloid cells","M_C4_VCAN_Mono",60,0.882
"EC","Myeloid cells","M_C5_CCL3_C1QA_Macro",1105,16.252
"EC","Myeloid cells","M_C6_SPP1_Macro",1006,14.796
"EC","Myeloid cells","M_C7_TREM2_Macro",422,6.207
"EC","Myeloid cells","M_C8_BMP2K_Macro",17,0.25
"EC","Myeloid cells","M_C9_ISG15_Macro",334,4.912
"EC","Plasma cells","PC_C1_TXNDC5",19,8.297
"EC","Plasma cells","PC_C2_GMDS",4,1.747
"EC","Plasma cells","PC_C5_HSPA1A",17,7.424
